Eesti üldapteekide vastavus 01.04.2020 rakenduvatele apteegireformi nõuetele;;;;;;;;;;;
Seisuga 01.01.2020 (Ravimiameti inspektsiooniosakond);;;;;;;;;;;
Tegutsemiskoha kood;Apteegi nimetus;Aadress;Tegevusloa omaja;VASTAVUS NÕUETELE;Värv kaardil;Põhiapteek/haruapteek;Maakond;ASUKOHT;;;
106;Abja Apteek;Viljandi maakond Abja vald Abja-Paluoja linn Oru tn 1-1;Osaühing Abja Apteek;Jah;Roheline;Põhiapteek;Viljandi maakond;Alla 4000 elanikuga linnas;;;
298;Aia Apteek;Harju maakond Tallinn Kesklinna linnaosa Narva mnt 7;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2077;Aia Apteek HA1;Harju maakond - Maardu linn Keemikute tn 25;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
170;Aime Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Kari tn 3;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
196;Akadeemia Konsumi Apteek;Harju maakond Tallinn Mustamäe linnaosa Akadeemia tee 35;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2133;Akadeemia Konsumi Apteek HA1;Harju maakond Tallinn Pirita linnaosa Rummu tee 4;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
158;Alatskivi Apteek;Tartu maakond Peipsiääre vald Alatskivi alevik Lossi tn 4;Tiina Järsi Alatskivi Apteek;Jah;Roheline;Põhiapteek;Tartu maakond;Maal;;;
2052;Alatskivi Apteek HA1;Tartu maakond Peipsiääre vald Kolkja alevik ;Tiina Järsi Alatskivi Apteek;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
1358;Allee Apteek;Ida-Viru maakond Kohtla-Järve linn Järve linnaosa Põhja allee 4;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
95;Anne Selveri Apteek;Tartu maakond - Tartu linn Kalda tee 43;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
238;Anne Südameapteek;Tartu maakond - Tartu linn Jaama tn 74;Pharma Group OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1327;Annelinna Apteek;Tartu maakond - Tartu linn Anne tn 57;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2163;Annelinna Apteek HA1;Tartu maakond - Tartu linn Kalda tee 32;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2221;Annelinna Apteek HA2;Tartu maakond - Tartu linn Ilmatsalu tn 11;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
131;Annelinna Prisma Südameapteek;Tartu maakond - Tartu linn Nõlvaku tn 2;Pharma Group OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1471;Annelinna Tervisekeskuse Apteek;Tartu maakond Tartu linn Mõisavahe tn 34b;Augustina Apteek OÜ;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
173;Antsla Apteek;Võru maakond Antsla vald Antsla linn Põllu tn 2;OÜ Reiola;Jah;Roheline;Põhiapteek;Võru maakond;Alla 4000 elanikuga linnas;;;
205;Apotheka Viru Keskuse Apteek;Harju maakond Tallinn Kesklinna linnaosa Viru väljak 4;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2122;Apotheka Viru Keskuse Apteek HA1;Harju maakond Tallinn Lasnamäe linnaosa J. Smuuli tee 43;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2207;Apotheka Viru Keskuse Apteek HA2;Harju maakond Saue vald Laagri alevik Pärnu mnt 558a;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
2232;Apotheka Viru Keskuse Apteek HA3;Rapla maakond Rapla vald Rapla linn Tallinna mnt 4;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Rapla maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
67;Aravete Apteek;Järva maakond, Järva vald, Aravete alevik, Lasteaia tn 4;Täisühing Aravete Apteek;Jah;Roheline;Põhiapteek;Järva maakond;Maal;;;
2021;Aravete Apteek HA1;Harju maakond Anija vald Aegviidu alev Kase tn 10;Täisühing Aravete Apteek;Jah;Roheline;Haruapteek;Harju maakond;Maal;;;
1444;Arsenali Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Erika tn 14;AV Apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1464;Auriga Keskuse Apteek ;Saare maakond, Saaremaa vald, Kudjape alevik, Tallinna tn 88;OÜ VR Apteegid ;Jah;Roheline;Põhiapteek;Saare maakond;Maal;;;
229;Balti Jaama Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Toompuiestee 37;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1442;Balti Jaama Turu Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Kopli tn 1;Anne Apteegid OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
112;Centrumi Apteek;Viljandi maakond - Viljandi linn Tallinna tn 24;OÜ Viljandi Vana-Apteek;Ei;Punane;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2140;Centrumi Apteek HA1;Viljandi maakond - Võhma linn Tallinna tn 17;OÜ Viljandi Vana-Apteek;Ei;Punane;Haruapteek;Viljandi maakond;Alla 4000 elanikuga linnas;;;
2233;Centrumi Apteek HA3;Viljandi maakond Tarvastu vald Mustla alevik Posti tn 36;OÜ Viljandi Vana-Apteek;Ei;Punane;Haruapteek;Viljandi maakond;Maal;;;
230;Eedeni Keskuse Apteek;Tartu maakond - Tartu linn Kalda tee 1c;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2146;Eedeni Keskuse Apteek HA1;Tartu maakond - Tartu linn Rebase tn 10;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1432;Ehitajate Tee Apteek;Harju maakond Tallinn Haabersti linnaosa Ehitajate tee 148;OÜ Kvatropharma;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2334;Ehitajate Tee Apteek HA1;Harju maakond, Rae vald, Jüri alevik, Aruküla tee 7;OÜ Kvatropharma;Jah;Roheline;Haruapteek;Harju maakond;Maal;;;
246;Elite Apteek;Tartu maakond - Tartu linn Sangla tn 63;OÜ Apteek Elite;Ei;Kollane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
161;Elva Apteek;Tartu maakond - Elva linn Kesk tn 35;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
236;Elva Kesklinna Apteek;Tartu maakond - Elva linn Kesk tn 23;osaühing Raves MK;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2063;Elva Kesklinna Apteek HA1;Tartu maakond - Elva linn Kesk tn 1;osaühing Raves MK;Ei;Kollane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1465;Elva Tervisekeskuse Apteek ;Tartu maakond, Elva vald, Elva linn, Supelranna tn 21;Nordic Pharmacy OÜ;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2304;Elva Tervisekeskuse Apteek HA1;Tartu maakond Kambja vald Ülenurme alevik Võru mnt 2;Nordic Pharmacy OÜ;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
203;Fama Keskuse Apteek;Ida-Viru maakond - Narva linn Fama tn 10;TPA Narva Apteegid OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2260;Fama Keskuse Apteek HA2;Ida-Viru maakond - Narva linn Kangelaste prospekt 29;TPA Narva Apteegid OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2308;Fama Keskuse Apteek HA3;Ida-Viru maakond - Narva linn Tallinna mnt 41;TPA Narva Apteegid OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
232;Gildi Apteek;Tartu maakond - Tartu linn Gildi tn 8;osaühing TARTU UUSAPTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
318;Haabersti Rimi Apteek;Harju maakond Tallinn Haabersti linnaosa Haabersti tn 1;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
118;Haabersti Tervisekeskuse Südameapteek;Harju maakond Tallinn Haabersti linnaosa Õismäe tee 179;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
34;Haapsalu Südameapteek;Lääne maakond - Haapsalu linn Jaama tn 32;Pharma Group OÜ;Ei;Punane;Põhiapteek;Lääne maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
207;Herba Apteek;Harju maakond Tallinn Lasnamäe linnaosa Majaka tn 28a;Herba Apteegi Aktsiaselts;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1451;Hiiu Rimi Apteek;Harju maakond Tallinn Nõmme linnaosa Pärnu mnt 386;MAPharm OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
104;Häädemeeste Apteek;Pärnu maakond Häädemeeste vald Häädemeeste alevik Pärnu mnt 15;osaühing Häädemeeste Apteek;Jah;Roheline;Põhiapteek;Pärnu maakond;Maal;;;
1417;Iidla Kaubanduskeskuse  Südameapteek;Ida-Viru maakond Kohtla-Järve linn Ahtme linnaosa Maleva tn 23;Pharma Group OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2318;Iidla Kaubanduskeskuse Südameapteek HA2;Ida-Viru maakond Kohtla-Järve linn Ahtme linnaosa Tervise tn 1;Pharma Group OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
75;Iisaku Apteek;Ida-Viru maakond Alutaguse vald Iisaku alevik Tartu mnt 48;ANU TETTINGU APTEEK;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Maal;;;
206;Jaama Apteek;Lääne-Viru maakond Tapa vald Tapa linn Lai tn 5;Osaühing UHMER;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1342;Jakobsoni Apteek;Harju maakond Tallinn Kesklinna linnaosa Tartu mnt 49;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2240;Jakobsoni apteek HA1;Ida-Viru maakond - Narva linn Kreenholmi tn 52;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
287;Jannseni Apteek;Harju maakond Tallinn Nõmme linnaosa J. V. Jannseni tn 37;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
3;Jõe Apteek;Harju maakond Tallinn Kesklinna linnaosa Narva mnt 21;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2203;Jõe Apteek HA2;Harju maakond Tallinn Mustamäe linnaosa E. Vilde tee 101;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
144;Jõgeva Apteek;Jõgeva maakond - Jõgeva linn Piiri tn 6;Osaühing Jõgeva Apteegid;Ei;Kollane;Põhiapteek;Jõgeva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2084;Jõgeva Apteek HA1;Jõgeva maakond - Jõgeva linn Aia tn 3;Osaühing Jõgeva Apteegid;Ei;Kollane;Haruapteek;Jõgeva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1443;Jõgeva Euroapteek;Jõgeva maakond - Jõgeva linn Suur tn 19;OÜ Pharmandia;Jah;Roheline;Põhiapteek;Jõgeva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2331;Jõgeva Euroapteek HA1;Tartu maakond Tartu vald Vahi alevik Piparmündi tn 1 ;OÜ Pharmandia;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
1450;Jõgeva Keskapteek;Jõgeva maakond - Jõgeva linn Kesk tn 4;Proviisorapteek OÜ;Jah;Roheline;Põhiapteek;Jõgeva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1421;Jõgeva Keskuse Apteek;Jõgeva maakond - Jõgeva linn Aia tn 33;OÜ PharmaTwo;Jah;Roheline;Põhiapteek;Jõgeva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
73;Jõhvi Apteek;Ida-Viru maakond Jõhvi vald Jõhvi linn Narva mnt 3;OSAÜHING JÕHVI APTEEK;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2022;Jõhvi Apteek HA1;Ida-Viru maakond Kohtla-Järve linn Ahtme linnaosa Estonia pst 30a;OSAÜHING JÕHVI APTEEK;Ei;Kollane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1411;Jõhvi Euroapteek;Ida-Viru maakond Jõhvi vald Jõhvi linn Rakvere tn 29;OÜ PharmaThree;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1437;Jõhvi Grossi Keskuse Apteek ;Ida-Viru maakond Jõhvi vald Jõhvi linn Tartu mnt 15a;OÜ KONVALLARIA;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
316;Jõhvi Keskväljaku Apteek;Ida-Viru maakond Jõhvi vald Jõhvi linn Keskväljak 4;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2064;Jõhvi Keskväljaku Apteek HA1;Ida-Viru maakond Jõhvi vald Jõhvi linn Narva mnt 4b;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
127;Järva-Jaani Apteek;Järva maakond Järva-Jaani vald Järva-Jaani alev Kase tn 1;osaühing Järva-Jaani Apteek;Jah;Roheline;Põhiapteek;Järva maakond;Maal;;;
145;Järve Selveri Apteek;Harju maakond Tallinn Nõmme linnaosa Pärnu mnt 238;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
288;Järveküla Apteek;Ida-Viru maakond Kohtla-Järve linn Järve linnaosa Järveküla tee 62b;Kohtla-Järve Järveküla Apteek OÜ ;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1402;Järveotsa Apteek;Harju maakond Tallinn Haabersti linnaosa Õismäe tee 107;Marja Apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1329;Jüri Tänava Südameapteek;Võru maakond - Võru linn Jüri tn 15;Pharma Group OÜ;Ei;Punane;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
20;Kaarli Apteek;Harju maakond Tallinn Kesklinna linnaosa Kaarli pst 11;osaühing Pharmal;Ei;Kollane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2150;Kaarli Apteek HA1;Harju maakond Harku vald Tabasalu alevik Klooga mnt 10b;osaühing Pharmal;Ei;Kollane;Haruapteek;Harju maakond;Maal;;;
2285;Kaarli Apteek HA2;Harju maakond Harku vald Muraste küla Lee tee 1;osaühing Pharmal;Ei;Kollane;Haruapteek;Harju maakond;Maal;;;
291;Kadaka Selveri Apteek;Harju maakond Tallinn Mustamäe linnaosa Kadaka tee 56a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1472;Kagukeskuse Südameapteek;Võru maakond Võru linn Kooli tn 6;Võro Aptiik OÜ;Jah;Roheline;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
303;Kajaka Apteek;Ida-Viru maakond - Sillamäe linn Kajaka tn 9;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1352;Kakumäe Selveri Südameapteek;Harju maakond Tallinn Haabersti linnaosa Rannamõisa tee 6;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
5;Kalamaja Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Kotzebue tn 9;AS Remedium Kalamaja Apteek;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2112;Kalamaja Apteek HA1;Harju maakond Tallinn Põhja-Tallinna linnaosa Paldiski mnt 62;AS Remedium Kalamaja Apteek;Ei;Kollane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
156;Kallaste Apteek;Tartu maakond - Kallaste linn Oja tn 17;Malle Hilpuse Kallaste Apteek;Jah;Roheline;Põhiapteek;Tartu maakond;Alla 4000 elanikuga linnas;;;
2051;Kallaste Apteek HA1;Tartu maakond Peipsiääre vald Koosa küla ;Malle Hilpuse Kallaste Apteek;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
2182;Kallaste Apteek HA2;Tartu maakond Peipsiääre vald Pala küla ;Malle Hilpuse Kallaste Apteek;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
198;Kallavere Apteek;Harju maakond - Maardu linn Noorte tn 7;OÜ PharmaFour;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
163;Kambja Apteek;Tartu maakond Kambja vald Kambja alevik Aia tn 2;Jana Esko Kambja Apteek;Jah;Roheline;Põhiapteek;Tartu maakond;Maal;;;
2257;Kambja Apteek HA1;Põlva maakond Kanepi vald Saverna küla Kooli tee 5;Jana Esko Kambja Apteek;Jah;Roheline;Haruapteek;Põlva maakond;Maal;;;
182;Kanepi Apteek;Põlva maakond Kanepi vald Kanepi alevik Turu tn 1;osaühing SAVERNA APTEEK;Jah;Roheline;Põhiapteek;Põlva maakond;Maal;;;
1449;Kannikese Apteek;Ida-Viru maakond - Sillamäe linn V. Tðkalovi tn 3;OÜ KONVALLARIA;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1425;Kantremaa Apteek;Viljandi maakond - Viljandi linn Vaksali tn 11a;OÜ Kantremaa Apteek;Jah;Roheline;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
98;Karete Apteek;Tartu maakond - Tartu linn Jalaka tn 34;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2123;Karete Apteek HA1;Tartu maakond - Tartu linn Vitamiini tn 1;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
109;Karksi-Nuia Apteek;Viljandi maakond Mulgi vald Karksi-Nuia linn Kalda tn 6b;OÜ Akemal;Jah;Roheline;Põhiapteek;Viljandi maakond;Alla 4000 elanikuga linnas;;;
2347;Karksi-Nuia Apteek HA2;Viljandi maakond - Mõisaküla linn Pärnu tn 43;OÜ Akemal;Jah;Roheline;Haruapteek;Viljandi maakond;Alla 4000 elanikuga linnas;;;
279;Kastani Apteek;Tartu maakond - Tartu linn Lembitu tn 2;osaühing KASTANI APTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1309;Kaubamaja Apteek;Harju maakond Tallinn Kesklinna linnaosa Gonsiori tn 2;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2156;Kaubamaja Apteek HA1;Harju maakond Tallinn Kristiine linnaosa Endla tn 45;OÜ Jasmin Apteegid;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2288;Kaubamaja Apteek HA2;Harju maakond Viimsi vald Haabneeme alevik Randvere tee 6;OÜ Jasmin Apteegid;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
28;Kehra Linnaapteek;Harju maakond Anija vald Kehra linn F. R. Kreutzwaldi tn 7;Kehra Linnaapteegi Osaühing;Jah;Roheline;Põhiapteek;Harju maakond;Alla 4000 elanikuga linnas;;;
227;Keila Apteek;Harju maakond - Keila linn Jaama tn 11;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
25;Keila Raeapteek;Harju maakond - Keila linn Keskväljak 5;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2251;Keila Raeapteek HA2;Harju maakond - Keila linn Piiri tn 12;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1407;Keila Rõõmu Apteek;Harju maakond - Keila linn Haapsalu mnt 57b;OÜ Pharmandia;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
84;Keskpuiestee Apteek;Ida-Viru maakond - Kiviõli linn Keskpuiestee 35;Osaühing APOTHEKE;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2015;Keskpuiestee Apteek HA1;Ida-Viru maakond Lüganuse vald Püssi linn Viru tn 1;Osaühing APOTHEKE;Jah;Roheline;Haruapteek;Ida-Viru maakond;Alla 4000 elanikuga linnas;;;
1433;Kiisa Apteek ;Harju maakond Saku vald Kiisa alevik Kurtna tee 21;Multi Pharma OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Maal;;;
103;Kilingi-Nõmme Apteek;Pärnu maakond Saarde vald Kilingi-Nõmme linn Pärnu tn 65;Osaühing Kilingi-Nõmme Apteek;Jah;Roheline;Põhiapteek;Pärnu maakond;Alla 4000 elanikuga linnas;;;
1415;Kivila Südameapteek;Harju maakond Tallinn Lasnamäe linnaosa Kivila tn 26;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
155;Kivilinna Konsumi Apteek;Tartu maakond - Tartu linn Jaama tn 173;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
80;Kiviõli Linnaapteek;Ida-Viru maakond - Kiviõli linn Soo tn 3;Kiviõli Linnaapteegi Osaühing;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
320;Koduapteek;Harju maakond Tallinn Kesklinna linnaosa Aia tn 7;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2127;Koduapteek HA1;Harju maakond Tallinn Haabersti linnaosa Õismäe tee 105a;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2249;Koduapteek HA2;Harju maakond Kiili vald Kiili alev Nabala tee 4;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
128;Koeru apteek;Järva maakond Järva vald Koeru alevik Paide tee 16a;Eva Närska Apteek Koerus;Jah;Roheline;Põhiapteek;Järva maakond;Maal;;;
46;Kohila Apteek;Rapla maakond Kohila vald Kohila alev Tööstuse tn 5;Kohila Apteegi osaühing;Jah;Roheline;Põhiapteek;Rapla maakond;Maal;;;
2266;Kohila Apteek HA1;Rapla maakond Järvakandi vald Järvakandi alev Vana-Asula tn 2;Kohila Apteegi osaühing;Jah;Roheline;Haruapteek;Rapla maakond;Maal;;;
123;Kohila Südameapteek;Rapla maakond Kohila vald Kohila alev Vabaduse tn 9b;Pharma Group OÜ;Ei;Punane;Põhiapteek;Rapla maakond;Maal;;;
193;Kohtla-Järve Apteek;Ida-Viru maakond Kohtla-Järve linn Järve linnaosa Järveküla tee 68;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
