Eesti üldapteekide vastavus 01.04.2020 rakenduvatele apteegireformi nõuetele;;;;;;;;;;;
2227;Nurme Apteek HA3;Lääne maakond Haapsalu linn Uuemõisa alevik Tallinna mnt 84;osaühing NURME APTEEK;Ei;Kollane;Haruapteek;Lääne maakond;Maal;;;
13;Nõmme Linnaapteek;Harju maakond Tallinn Nõmme linnaosa Pärnu mnt 326;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2291;Nõmme Linnaapteek HA1;Harju maakond Saue vald Laagri alevik Pärnu mnt 556a;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
1379;Nõmme Südameapteek;Harju maakond Tallinn Nõmme linnaosa Jaama tn 2;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1316;Nõmme Tee Apteek;Harju maakond Tallinn Kristiine linnaosa Nõmme tee 23a;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2160;Nõmme Tee Apteek HA1;Harju maakond Tallinn Mustamäe linnaosa E. Vilde tee 75;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
215;Nõmme Tervisekeskuse Südameapteek;Harju maakond Tallinn Nõmme linnaosa Jaama tn 11;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
162;Nõo Apteek;Tartu maakond Nõo vald Nõo alevik Tartu tn 12;osaühing NÕO APTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Maal;;;
286;Oja Apteek;Pärnu maakond - Pärnu linn Oja tn 114;osaühing Fabius EE;Jah;Roheline;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
167;Otepää Südameapteek;Valga maakond Otepää vald Otepää linn Lipuväljak 11;Pharma Group OÜ;Ei;Punane;Põhiapteek;Valga maakond;Alla 4000 elanikuga linnas;;;
1378;Paasiku Apteek;Harju maakond Tallinn Lasnamäe linnaosa Paasiku tn 2a;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2287;Paasiku Apteek HA1;Harju maakond - Maardu linn Altmetsa tee 1;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1347;Pae Apteek;Harju maakond Tallinn Lasnamäe linnaosa Pae tn 76;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2269;Pae Apteek HA1;Harju maakond Anija vald Kehra linn Kose mnt 7;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Alla 4000 elanikuga linnas;;;
1426;Paekivi Apteek;Harju maakond Tallinn Lasnamäe linnaosa Pae tn 74;Marja Apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
283;Paepargi Apteek;Harju maakond Tallinn Lasnamäe linnaosa Paepargi tn 57;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1416;Paide Maksimarketi Südameapteek;Järva maakond - Paide linn Ringtee 2;Pharma Group OÜ;Ei;Punane;Põhiapteek;Järva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1382;Paide Maxima Apteek;Järva maakond - Paide linn Pärnu tn 63;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Järva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
261;Paide Selveri Südameapteek;Järva maakond - Paide linn Aiavilja tn 4;Pharma Group OÜ;Ei;Punane;Põhiapteek;Järva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2324;Paide Selveri Südameapteek HA2;Harju maakond Kose vald Kose alevik Pikk tn 23;Pharma Group OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
1422;Paide Suur Apteek;Järva maakond - Paide linn Pärnu tn 6;OÜ PharmaOne;Jah;Roheline;Põhiapteek;Järva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
125;Paide Vee Tänava Apteek;Järva maakond - Paide linn Vee tn 3;OÜ PAIDE VEE TÄNAVA APTEEK;Ei;Kollane;Põhiapteek;Järva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2214;Paide Vee Tänava Apteek HA2;Järva maakond Väätsa vald Väätsa alevik Kooli tn 10;OÜ PAIDE VEE TÄNAVA APTEEK;Ei;Kollane;Haruapteek;Järva maakond;Maal;;;
147;Palamuse Apteek;Jõgeva maakond Jõgeva vald Palamuse alevik Suur tn 4;OÜ TRIFOLIUM VA;Jah;Roheline;Põhiapteek;Jõgeva maakond;Maal;;;
26;Paldiski Apteek;Harju maakond - Paldiski linn Rae tn 38;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Alla 4000 elanikuga linnas;;;
2265;Paldiski Apteek HA1;Harju maakond - Paldiski linn Rae tn 14b;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Alla 4000 elanikuga linnas;;;
1311;Papiniidu Apteek;Pärnu maakond - Pärnu linn Papiniidu tn 8;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
174;Pargi Apteek;Harju maakond Tallinn Mustamäe linnaosa J. Sütiste tee 19;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1476;Pargi Keskuse Apteek;Ida-Viru maakond, Jõhvi vald, Jõhvi linn Puru tee 1;Pargi Apteek OÜ;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1477;Peetri Keskuse Südameapteek;Harju maakond Rae vald Peetri alevik Küti tee 4;Veerenni apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Maal;;;
1391;Peetri Selveri Südameapteek;Harju maakond Rae vald Peetri alevik Veesaare tee 2;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Maal;;;
9;Pelgulinna Südameapteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Ädala tn 1;Osaühing Pelgulinna Apteek;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
213;Pelguranna Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Madala tn 3;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
218;Pereapteek;Harju maakond Tallinn Kesklinna linnaosa Suur-Ameerika tn 18a;Osaühing Pereapteek;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1351;Peterburi tee Rimi Apteek;Harju maakond, Tallinn, Lasnamäe linnaosa, Tooma tn 3;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1458;Pinna Apteek;Pinna Apteek Harju maakond, Tallinn, Lasnamäe linnaosa, P. Pinna tn 8;Pinna Management OÜ ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
17;Pirita Südameapteek;Harju maakond Tallinn Pirita linnaosa Merivälja tee 24;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
296;Poordi Apteek;Harju maakond Tallinn Kesklinna linnaosa Poordi tn 1;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
159;Port Arturi Apteek;Pärnu maakond - Pärnu linn Lai tn 11;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2307;Port Arturi Apteek HA3;Pärnu maakond - Pärnu linn Ristiku tn 1;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
304;Posti Apteek;Lääne maakond - Haapsalu linn Posti tn 26;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Lääne maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2311;Posti Apteek HA1;Lääne maakond Haapsalu linn Uuemõisa küla Rannarootsi tee 1;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Lääne maakond;Maal;;;
241;Priisle Apteek;Harju maakond Tallinn Lasnamäe linnaosa Linnamäe tee 57;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
164;Puhja Apteek;Tartu maakond Elva vald Puhja alevik Elva tee 1;osaühing Kogu Pere Apteek;Jah;Roheline;Põhiapteek;Tartu maakond;Maal;;;
178;Puka Apteek;Valga maakond Puka vald Puka alevik Kesk tn 8;Marika Oksaare Puka Apteek;Jah;Roheline;Põhiapteek;Valga maakond;Maal;;;
253;Punane Apteek;Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 16b;osaühing Saparal;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2135;Punane Apteek HA1;Harju maakond Tallinn Lasnamäe linnaosa Mahtra tn 27;osaühing Saparal;Ei;Kollane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
132;Puurmani Apteek;Jõgeva maakond Puurmani vald Puurmani alevik Tallinna mnt 4;MAIRE APTEEK OÜ;Ei;Kollane;Põhiapteek;Jõgeva maakond;Maal;;;
204;Põhja Rimi Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Põhja pst 17;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1350;Põhjakeskuse Apteek;Lääne-Viru maakond Rakvere vald Tõrremäe küla ;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Maal;;;
129;Põltsamaa Apteek;Jõgeva maakond - Põltsamaa linn Lossi tn 9;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Jõgeva maakond;Alla 4000 elanikuga linnas;;;
2128;Põltsamaa Apteek HA1;Viljandi maakond Viljandi vald Kolga-Jaani alevik Viljandi mnt 6;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Viljandi maakond;Maal;;;
1419;Põltsamaa Keskuse Apteek;Jõgeva maakond Põltsamaa vald Põltsamaa linn Kesk tn 2;OÜ PharmaTwo;Jah;Roheline;Põhiapteek;Jõgeva maakond;Alla 4000 elanikuga linnas;;;
1461;Põltsamaa Selveri Apteek;Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Jõgeva mnt 1a;"Osaühing ""Põltsamaa Uus Apteek""";Jah;Roheline;Põhiapteek;Jõgeva maakond;Alla 4000 elanikuga linnas;;;
255;Põltsamaa Uus Apteek;Jõgeva maakond - Põltsamaa linn Kesk tn 3;"Osaühing ""Põltsamaa Uus Apteek""";Jah;Roheline;Põhiapteek;Jõgeva maakond;Alla 4000 elanikuga linnas;;;
181;Põlva Apteek;Põlva maakond Põlva vald Põlva linn Mäe tn 2a;osaühing PÕLVA APTEEK;Jah;Roheline;Põhiapteek;Põlva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2050;Põlva Apteek HA1;Põlva maakond Põlva vald Ahja alevik Tartu mnt 21;osaühing PÕLVA APTEEK;Jah;Roheline;Haruapteek;Põlva maakond;Maal;;;
2279;Põlva Apteek HA3;Võru maakond, Setomaa vald, Värska alevik, Pikk tn 30;osaühing PÕLVA APTEEK;Jah;Roheline;Haruapteek;Võru maakond;Maal;;;
1431;Põlva EDU Keskuse Apteek;Põlva maakond Põlva vald Põlva linn Aasa tn 1;Kaguapteek OÜ;Jah;Roheline;Põhiapteek;Põlva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1462;Põlva Maksimarketi Apteek;Põlva maakond, Põlva vald, Põlva linn, Ringtee tn 4;osaühing PÕLVA APTEEK;Jah;Roheline;Põhiapteek;Põlva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
188;Põlva Tervisekeskuse Südameapteek;Põlva maakond Põlva vald Põlva linn Uus tn 2;Pharma Group OÜ;Ei;Punane;Põhiapteek;Põlva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2078;Põlva Tervisekeskuse Südameapteek HA1;Põlva maakond Põlva vald Põlva linn Jaama tn 12a;Pharma Group OÜ;Ei;Punane;Haruapteek;Põlva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2195;Põlva Tervisekeskuse Südameapteek HA2;Põlva maakond Põlva vald Põlva linn Kesk tn 10;Pharma Group OÜ;Ei;Punane;Haruapteek;Põlva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
273;Pärnu Keskuse Südameapteek;Pärnu maakond - Pärnu linn Aida tn 7;Pharma Group OÜ;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
89;Pärnu Linnaapteek;Pärnu maakond - Pärnu linn Pikk tn 11;Helania OÜ;Jah;Roheline;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2079;Pärnu Linnaapteek HA1;Pärnu maakond - Pärnu linn Karja tn 4;Helania OÜ;Ei;Kollane;Haruapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2196;Pärnu Linnaapteek HA2;Pärnu maakond Kihnu vald Linaküla ;Helania OÜ;Jah;Roheline;Haruapteek;Pärnu maakond;Maal;;;
1405;Pärnu Maksimarketi Südameapteek;Pärnu maakond Pärnu linn Papsaare küla Haapsalu mnt 43;Pharma Group OÜ;Ei;Punane;Põhiapteek;Pärnu maakond;Maal;;;
2292;Pärnu Maksimarketi Südameapteek HA1;Pärnu maakond, Pärnu linn, Paikuse alev, Pärnade pst 1;Pharma Group OÜ;Ei;Punane;Haruapteek;Pärnu maakond;Maal;;;
1325;Pärnu Rüütli Apteek;Pärnu maakond - Pärnu linn Rüütli tn 30;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
81;Pärnu Turu Südameapteek;Pärnu maakond - Pärnu linn Suur-Sepa tn 18;Pharma Group OÜ;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
19;Raasiku Apteek;Harju maakond Raasiku vald Raasiku alevik Tallinna mnt 19;Osaühing Raasiku Apteek;Jah;Roheline;Põhiapteek;Harju maakond;Maal;;;
2149;Raasiku Apteek HA1;Harju maakond Raasiku vald Aruküla alevik Piiri tn 12a;Osaühing Raasiku Apteek;Jah;Roheline;Haruapteek;Harju maakond;Maal;;;
63;Raatuse Apteek;Tartu maakond - Tartu linn Raatuse tn 20;osaühing TARTU UUSAPTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
137;Raekoja Apteek;Tartu maakond - Tartu linn Raekoja plats 1a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2012;Raekoja Apteek HA1;Tartu maakond - Tartu linn Riia tn 1;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2170;Raekoja Apteek HA2;Tartu maakond - Tartu linn Narva mnt 112;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1332;Rahu Apteek;Ida-Viru maakond - Narva linn Pähklimäe tn 6a;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2165;Rahu Apteek HA1;Ida-Viru maakond - Sillamäe linn Viru pst 35;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2258;Rahu Apteek HA2;Ida-Viru maakond Kohtla-Järve linn Ahtme linnaosa Maleva tn 23;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2270;Rahu Apteek HA3;Ida-Viru maakond - Narva linn Mõisa tn 8;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1474;Raja Südameapteek;Tartu maakond, Tartu linn Raja tn 31;Veerenni apteek OÜ;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
71;Rakke Apteek;Lääne-Viru maakond Väike-Maarja vald Rakke alevik F. R. Faehlmanni tee 30;Rakke Apteek Osaühing;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Maal;;;
321;Rakvere Keskväljaku Apteek;Lääne-Viru maakond - Rakvere linn L. Koidula tn 1;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1455;Rakvere Laada Apteek;Lääne-Viru maakond - Rakvere linn Laada tn 39;OÜ PharmaOne;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
58;Rakvere Maxima Südameapteek;Lääne-Viru maakond - Rakvere linn Tallinna tn 11;Pharma Group OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2302;Rakvere Maxima Südameapteek HA1;Lääne-Viru maakond, Viru-Nigula vald, Aseri alevik, Tehase tn 23;Pharma Group OÜ;Ei;Punane;Haruapteek;Lääne-Viru maakond;Maal;;;
1424;Rakvere Vaala Keskuse Apteek;Lääne-Viru maakond - Rakvere linn Lõõtspilli tn 2;OÜ PharmaTwo;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
244;Ranna Apteek;Pärnu maakond - Pärnu linn Pärna tn 12;Osaühing Ranna Apteek;Jah;Roheline;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
45;Rapla Apteek;Rapla maakond Rapla vald Rapla linn Hariduse tn 3;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Rapla maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1387;Raudalu Südameapteek;Harju maakond Tallinn Nõmme linnaosa Viljandi mnt 41a;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
233;Ravana Apteek;Tartu maakond - Tartu linn Võru tn 77;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2328;Ravana Apteek HA2;Valga maakond Otepää vald Otepää linn Lipuväljak 28;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Valga maakond;Alla 4000 elanikuga linnas;;;
1341;Retke tee BENU Apteek;Harju maakond Tallinn Kristiine linnaosa Tuisu tn 30;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
16;Revali Raeapteek;Harju maakond Tallinn Kesklinna linnaosa Raekoja plats 11;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1460;Riia Maja Apteek;Pärnu maakond - Pärnu linn Riia mnt 169a;Helania OÜ;Jah;Roheline;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1454;Ringi Apteek;Järva maakond, Türi vald, Türi linn, Tallinna tn 4;Nordic Pharmacy OÜ;Jah;Roheline;Põhiapteek;Järva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
277;Ringtee Selveri Südameapteek;Tartu maakond - Tartu linn Aardla tn 114;Veerenni apteek OÜ;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2191;Ringtee Selveri Südameapteek HA2;Tartu maakond - Tartu linn L. Puusepa tn 3;Veerenni apteek OÜ;Ei;Kollane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
35;Risti Apteek;Lääne maakond Lääne-Nigula vald Risti alevik Jaama tn 1;osaühing RISTI APTEEK;Ei;Punane;Põhiapteek;Lääne maakond;Maal;;;
1354;Rocca al Mare Apteek;Harju maakond Tallinn Haabersti linnaosa Paldiski mnt 102;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2294;Rocca al Mare Apteek HA1;Harju maakond Saue vald Laagri alevik Veskitammi tn 10;OÜ Jasmin Apteegid;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
274;Rocca al Mare Keskuse Apteek;Harju maakond Tallinn Haabersti linnaosa Paldiski mnt 102;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
172;Rõuge Apteek;Võru maakond Rõuge vald Rõuge alevik Sänna mnt 4;OÜ Rõuge Apteek;Jah;Roheline;Põhiapteek;Võru maakond;Maal;;;
185;Räpina Apteek;Põlva maakond Räpina vald Räpina linn Võru mnt 1a;osaühing RÄPINA APTEEK;Ei;Kollane;Põhiapteek;Põlva maakond;Alla 4000 elanikuga linnas;;;
1323;Räpina Südameapteek;Põlva maakond Räpina vald Räpina linn Kooli tn 14a;Pharma Group OÜ;Ei;Punane;Põhiapteek;Põlva maakond;Alla 4000 elanikuga linnas;;;
1412;Saare Selveri Südameapteek;Saare maakond - Kuressaare linn Tallinna tn 67;Pharma Group OÜ;Ei;Punane;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
49;Saaremaa Apteek;Saare maakond - Kuressaare linn Lossi tn 1;osaühing Saaremaa Apteek;Jah;Roheline;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
116;Saku Südameapteek;Harju maakond Saku vald Saku alevik Juubelitammede tee 6;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Maal;;;
1400;Saue Grossi BENU Apteek;Harju maakond - Saue linn Pärnasalu põik 1b;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1427;Saue Ladva Apteek;Harju maakond - Saue linn Kuuseheki tn 2;OÜ Kvatropharma;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
300;Selma Apteek;Harju maakond Tallinn Kesklinna linnaosa Lastekodu tn 11a;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
60;Seminari Südameapteek;Lääne-Viru maakond - Rakvere linn Seminari tn 3;Pharma Group OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1335;Sepa Keskuse Apteek;Tartu maakond - Tartu linn Sepa tn 21;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2319;Sepa Keskuse Apteek HA1;Tartu maakond Elva vald Rõngu alevik Viljandi mnt 2;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Tartu maakond;Maal;;;
1321;Siili Apteek;Harju maakond Tallinn Mustamäe linnaosa Sõpruse pst 171;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2158;Siili Apteek HA1;Harju maakond Tallinn Nõmme linnaosa Valdeku tn 114;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2218;Siili Apteek HA2;Harju maakond Tallinn Mustamäe linnaosa Kiili tn 16;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
248;Sikupilli Apteek;Harju maakond Tallinn Lasnamäe linnaosa Tartu mnt 87;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2305;Sikupilli Apteek HA1;Harju maakond Kose vald Kose alevik Kodu tn 2;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
1398;Sikupilli Keskuse Südameapteek;Harju maakond Tallinn Lasnamäe linnaosa Tartu mnt 87;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1447;Sillamäe Maksimarketi Apteek;Ida-Viru maakond Sillamäe linn Viru pst 5;OÜ KONVALLARIA;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1463;Sillamäe Pavlovi Apteek;Ida-Viru maakond, Sillamäe linn, I. Pavlovi tn 1a;OÜ PharmaThree;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1369;Sitsi Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Kopli tn 35b;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1374;Smuuli Apteek;Harju maakond Tallinn Lasnamäe linnaosa J. Smuuli tee 9;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
74;Soldino Apteek;Ida-Viru maakond - Narva linn Mõisa tn 5;Osaühing LABELIA;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
