Eesti üldapteekide vastavus 01.04.2020 rakenduvatele apteegireformi nõuetele;;;;;;;;;;;
1423;Stockmanni Apteek;Harju maakond Tallinn Kesklinna linnaosa Liivalaia tn 53;OÜ PharmaOne;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
183;Stroomi Keskuse Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Tuulemaa tn 20;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1330;Suurejõe Apteek;Pärnu maakond - Pärnu linn Suur-Jõe tn 57;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
8;Suur-Pärnu Apteek;Harju maakond Tallinn Kesklinna linnaosa Pärnu mnt 76;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2114;Suur-Pärnu Apteek HA1;Harju maakond Tallinn Kesklinna linnaosa Narva mnt 1;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
152;Sõbra Selveri Apteek;Tartu maakond - Tartu linn Sõbra tn 56;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2209;Sõbra Selveri Apteek HA2;Tartu maakond - Tartu linn Turu tn 14;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1456;Sõle Südameapteek;Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sõle tn 16;Osaühing Pelgulinna Apteek ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1406;Sõpruse Rimi Südameapteek;Harju maakond Tallinn Kristiine linnaosa Sõpruse pst 174;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1457;T1 Apteek;Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 2;Apt.Est OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1469;Tabasalu Tervisekeskuse apteek;Harju maakond Harku vald Tabasalu alevik Teenuste tn 2;Tabasalu Apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Maal;;;
148;Tabivere Apteek;Tartu maakond Tartu vald Tabivere alevik Tuuliku tn 8;Tabivere Apteek OÜ;Jah;Roheline;Põhiapteek;Tartu maakond;Maal;;;
2;Tallinna Linnaapteek Solarises;Harju maakond Tallinn Kesklinna linnaosa Estonia pst 9;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2057;Tallinna Linnaapteek Solarises HA1;Harju maakond Tallinn Kesklinna linnaosa Ravi tn 18;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2300;Tallinna Linnaapteek Solarises HA3;Harju maakond Viimsi vald Haabneeme alevik Sõpruse tee 15;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
1368;Tallinna Maantee Apteek;Saare maakond - Kuressaare linn Tallinna tn 64;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Saare maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
38;Tamme Apteek;Tartu maakond - Tartu linn L. Puusepa tn 1a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2273;Tamme Apteek HA1;Lääne maakond Lääne-Nigula vald Kullamaa küla ;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Lääne maakond;Maal;;;
290;Tammiku Apteek;Ida-Viru maakond Kohtla-Järve linn Ahtme linnaosa Ridaküla tn 10-26;Osaühing FARMACOR QUATRA;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2119;Tammiku Apteek HA1;Ida-Viru maakond Kohtla-Järve linn Oru linnaosa Männi tn 3;Osaühing FARMACOR QUATRA;Ei;Kollane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
70;Tamsalu Uus Apteek;Lääne-Viru maakond Tapa vald Tamsalu linn Tehnika tn 1a;Osaühing Tamsalu Uus Apteek;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Alla 4000 elanikuga linnas;;;
64;Tapa Apteek;Lääne-Viru maakond Tapa vald Tapa linn Pikk tn 33;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2326;Tapa Apteek HA1;Harju maakond Loksa linn Tallinna tn 36;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Alla 4000 elanikuga linnas;;;
280;Tapa Grossi Keskuse Apteek;Lääne-Viru maakond Tapa vald Tapa linn Jaama tn 1;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2325;Tapa Grossi Keskuse Apteek HA3;Lääne-Viru maakond Haljala vald Võsu alevik Mere tn 63a;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Lääne-Viru maakond;Maal;;;
1438;Tapa Konsumi Apteek;Lääne-Viru maakond Tapa vald Tapa linn Kivilo tn 3;OSAÜHING JÕHVI APTEEK;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1339;Tapa Südameapteek;Lääne-Viru maakond Tapa vald Tapa linn Valgejõe pst 14/2;Pharma Group OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2332;Tartu Kalda Suur  Apteek HA1;Lääne-Viru maakond Tapa vald Tamsalu linn Koidu tn 16;OÜ Pharmandia;Jah;Roheline;Haruapteek;Lääne-Viru maakond;Alla 4000 elanikuga linnas;;;
1410;Tartu Kalda Suur Apteek;Tartu maakond, Tartu linn, Tartu linn, Kalda tee 15;OÜ Pharmandia;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
126;Tartu Kesklinna Südameapteek;Tartu maakond - Tartu linn Küüni tn 7;Pharma Group OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1334;Tartu Küüni Apteek;Tartu maakond - Tartu linn Küüni tn 5b;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1310;Tartu Ringtee Südameapteek;Tartu maakond - Tartu linn Ringtee tn 60a;Pharma Group OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1338;Tartu Sõbra Apteek;Tartu maakond - Tartu linn Sõbra tn 58;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2316;Tartu Sõbra Apteek HA1;Tartu maakond Luunja vald Veibri küla Kasesalu tee 51;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Tartu maakond;Maal;;;
85;Tartu Turu Südameapteek;Tartu maakond - Tartu linn Soola tn 7;Pharma Group OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
322;Tasku Apteek;Tartu maakond - Tartu linn Turu tn 2;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2009;Tasku Apteek HA1;Tartu maakond - Tartu linn Võru tn 55f;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2169;Tasku Apteek HA2;Tartu maakond - Tartu linn Ringtee tn 75a;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1366;Telliskivi Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Telliskivi tn 61;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
179;Tiimanni Apteek;Ida-Viru maakond - Narva linn A-A. Tiimanni tn 20;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1386;Tondi Selveri Apteek;Harju maakond Tallinn Kristiine linnaosa A. H. Tammsaare tee 62;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1377;Tootsi Apteek;Pärnu maakond Põhja-Pärnumaa vald Tootsi alev Kesk tn 7;Maire Vaarmanni Tootsi Apteek;Jah;Roheline;Põhiapteek;Pärnu maakond;Maal;;;
102;Tori Apteek;Pärnu maakond Tori vald Tori alevik Pärnu mnt 3;OÜ Tori Apteek;Jah;Roheline;Põhiapteek;Pärnu maakond;Maal;;;
154;Torma Apteek;Jõgeva maakond Jõgeva vald Torma alevik Kesk tn 6;Osaühing Torma Apteek;Jah;Roheline;Põhiapteek;Jõgeva maakond;Maal;;;
252;Torupilli Apteek;Harju maakond Tallinn Kesklinna linnaosa Vesivärava tn 37;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1;Tõnismäe Südameapteek 24h;Harju maakond Tallinn Kesklinna linnaosa Tõnismägi 5;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
133;Tõrva Südameapteek;Valga maakond - Tõrva linn Tartu tn 4;Pharma Group OÜ;Ei;Punane;Põhiapteek;Valga maakond;Alla 4000 elanikuga linnas;;;
29;Tähe Apteek;Viljandi maakond Viljandi linn Turu tn 8;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1446;Tähesaju Selveri Apteek;Harju maakond Tallinn Lasnamäe linnaosa Tähesaju tee 1;MAPharm OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
138;Tähtvere Apteek;Tartu maakond - Tartu linn F. Tuglase tn 19;OÜ Pharmandia;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1353;Tööstuse Rimi Apteek;Harju maakond Tallinn Põhja-Tallinna linnaosa Tööstuse tn 103;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
122;Türi Apteek;Järva maakond Türi vald Türi linn Paide tn 7b;Türi Apteek Osaühing;Ei;Kollane;Põhiapteek;Järva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
278;Türi Tervisekeskuse Apteek;Järva maakond Türi vald Türi linn Viljandi tn 26;osaühing Folia Apteek;Jah;Roheline;Põhiapteek;Järva maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1473;Ujula Konsumi apteek;Tartu maakond, Tartu linn, Tartu linn, Ujula tn 2;osaühing TARTU UUSAPTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
105;Uku Keskuse Apteek;Viljandi maakond - Viljandi linn Tallinna tn 41;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1324;Uuesilla Apteek;Pärnu maakond - Pärnu linn Riia mnt 131;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2293;Uuesilla Apteek HA1;Põlva maakond Räpina vald Räpina linn Pargi tn 1;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Põlva maakond;Alla 4000 elanikuga linnas;;;
2297;Uuesilla Apteek HA2;Valga maakond - Tõrva linn Tamme tn 2;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Valga maakond;Alla 4000 elanikuga linnas;;;
234;Uus Apteek;Tartu maakond - Tartu linn Pikk tn 60;osaühing TARTU UUSAPTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2062;Uus Apteek HA1;Tartu maakond - Tartu linn L. Puusepa tn 8;osaühing TARTU UUSAPTEEK;Ei;Kollane;Haruapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2187;Uus Apteek HA2;Tartu maakond Nõo vald Nõo alevik Oja tn 12;osaühing TARTU UUSAPTEEK;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
79;Uus-Ahtme Apteek;Ida-Viru maakond Kohtla-Järve linn Ahtme linnaosa Puru tee 77;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1357;Vabaduse Apteek;Harju maakond Tallinn Kesklinna linnaosa Vabaduse väljak 10;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1429;Vaksali Apteek;Tartu maakond - Tartu linn Vaksali tn 17;Vaksali Apteek OÜ;Jah;Roheline;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
134;Valga Haigla Apteek;Valga maakond - Valga linn Peetri tn 2;OÜ Valga Haigla Apteek;Ei;Punane;Põhiapteek;Valga maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
175;Valga Maxima Südameapteek;Valga maakond - Valga linn Jaama pst 2b;Pharma Group OÜ;Ei;Punane;Põhiapteek;Valga maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
76;Valga Selveri Apteek;Valga maakond Valga vald Valga linn Raja tn 5;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Valga maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2310;Valga Selveri Apteek HA2;Valga maakond Otepää vald Sangaste alevik Nooruse tn 2;Terve Pere Apteek OÜ;Ei;Punane;Haruapteek;Valga maakond;Maal;;;
1320;Valga Südameapteek;Valga maakond - Valga linn Vabaduse tn 39;Pharma Group OÜ;Ei;Punane;Põhiapteek;Valga maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
211;Vana Apteek;Lääne maakond - Haapsalu linn Posti tn 15;osaühing Akos Apteek;Jah;Roheline;Põhiapteek;Lääne maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2039;Vana Apteek HA1;Tartu maakond Kambja vald Tõrvandi alevik Papli tn 6;osaühing Akos Apteek;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
195;Vana-Vigala Apteek; Rapla maakond Märjamaa vald Vana-Vigala küla Jaama tn 2 ;OÜ VIGALA APTEEK;Ei;Punane;Põhiapteek;Rapla maakond;Maal;;;
2176;Vana-Vigala Apteek HA2;Rapla maakond Märjamaa vald Märjamaa alev Oru tn 12;OÜ VIGALA APTEEK;Ei;Punane;Haruapteek;Rapla maakond;Maal;;;
190;Vastseliina Apteek;Võru maakond Võru vald Vastseliina alevik Võidu tn 22;OÜ Vastseliina Apteek;Jah;Roheline;Põhiapteek;Võru maakond;Maal;;;
7;Veerenni Tervisekeskuse Südameapteek;Harju maakond Tallinn Kesklinna linnaosa Veerenni tn 53a;Veerenni apteek OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
24;Viimsi Haigla Apteek;Harju maakond Viimsi vald Haabneeme alevik Kaluri tee 5a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Harju maakond;Maal;;;
307;Vikerlase Südameapteek 24h;Harju maakond Tallinn Lasnamäe linnaosa Vikerlase tn 19;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2320;Vikerlase Südameapteek 24h HA1;Harju maakond Kuusalu vald Kuusalu alevik Kuusalu tee 13;Pharma Group OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
108;Viljandi Apteek;Viljandi maakond - Viljandi linn Tartu tn 1;OÜ Jasmin Apteegid;Ei;Punane;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
114;Viljandi Maksimarketi Apteek;Viljandi maakond - Viljandi linn Lääne tn 2;Osaühing Ridaküla Apteek;Jah;Roheline;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
270;Viljandi Vana Apteek;Viljandi maakond - Viljandi linn Tallinna tn 2;OÜ Viljandi Vana-Apteek;Ei;Punane;Põhiapteek;Viljandi maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2101;Viljandi Vana Apteek HA1;Viljandi maakond Kõpu vald Kõpu alevik Viljandi mnt 4;OÜ Viljandi Vana-Apteek;Ei;Punane;Haruapteek;Viljandi maakond;Maal;;;
2284;Viljandi Vana Apteek HA2;Viljandi maakond Viljandi vald Jämejala küla Pärna tee 3;OÜ Viljandi Vana-Apteek;Ei;Punane;Haruapteek;Viljandi maakond;Maal;;;
220;Vinni Apteek;Lääne-Viru maakond Vinni vald Vinni alevik Sõpruse tn 1a;Osaühing Salvare Apteek;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Maal;;;
247;Virbi Apteek;Harju maakond Tallinn Lasnamäe linnaosa Virbi tn 4;Osaühing EstELIN & K;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1436;Virbi Euroapteek;Harju maakond Tallinn Lasnamäe linnaosa Virbi tn 12;OÜ Kvatropharma;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1376;Vironia Keskuse Apteek;Ida-Viru maakond Kohtla-Järve linn Järve linnaosa Järveküla tee 50;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
56;Viru Apteek;Ida-Viru maakond - Sillamäe linn Viru pst 2;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
214;Viru Platsi Apteek;Harju maakond Tallinn Kesklinna linnaosa Gonsiori tn 3;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2306;Viru Platsi Apteek HA1;Harju maakond Rae vald Jüri alevik Aruküla tee 29;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
1452;Viru Puiestee Apteek;Ida-Viru maakond Sillamäe linn Viru pst 22b;OÜ KONVALLARIA ;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1340;Viru Südameapteek;Lääne-Viru maakond - Rakvere linn Laada tn 20;Pharma Group OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2322;Viru Südameapteek HA2;Lääne-Viru maakond Kadrina vald Kadrina alevik Viitna tee 4;Pharma Group OÜ;Ei;Punane;Haruapteek;Lääne-Viru maakond;Maal;;;
57;Virumaa Apteek;Lääne-Viru maakond - Rakvere linn Laada tn 27;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2125;Virumaa Apteek HA1;Lääne-Viru maakond - Rakvere linn Tuleviku tn 1;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Lääne-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2243;Virumaa Apteek HA2;Lääne-Viru maakond Haljala vald Haljala alevik Rakvere mnt 3;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Lääne-Viru maakond;Maal;;;
2329;Virumaa Apteek HA3;Lääne-Viru maakond Väike-Maarja vald Väike-Maarja alevik Pikk tn 12;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Lääne-Viru maakond;Maal;;;
143;Võnnu Apteek;Tartu maakond Kastre vald Võnnu alevik Tartu tn 22;OÜ VÕNNU APTEEK;Jah;Roheline;Põhiapteek;Tartu maakond;Maal;;;
2013;Võnnu Apteek HA1;Tartu maakond Kastre vald Melliste küla Järve põik 5;OÜ VÕNNU APTEEK;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
2171;Võnnu Apteek HA2;Põlva maakond Põlva vald Mooste alevik Järveotsa tee 3;OÜ VÕNNU APTEEK;Jah;Roheline;Haruapteek;Põlva maakond;Maal;;;
2268;Võnnu Apteek HA3;Tartu maakond Kastre vald Roiu alevik Kesktänav 9;OÜ VÕNNU APTEEK;Jah;Roheline;Haruapteek;Tartu maakond;Maal;;;
169;Võru Apteek;Võru maakond - Võru linn Vabaduse tn 10b;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
27;Võru Maksimarketi Südameapteek;Võru maakond Võru linn Jüri tn 83;Pharma Group OÜ;Ei;Punane;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1322;Võru Polikliiniku Südameapteek;Võru maakond - Võru linn Jüri tn 19a;Pharma Group OÜ;Ei;Punane;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1384;Võru Rimi Apteek;Võru maakond - Võru linn Jüri tn 85;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
212;Võru Väike Apteek;Võru maakond - Võru linn Jüri tn 21;Osaühing Sella MT;Jah;Roheline;Põhiapteek;Võru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1403;Väike-Maarja Apteek;Lääne-Viru maakond Väike-Maarja vald Väike-Maarja alevik Ravi tn 1;V-M ApteeK OÜ;Jah;Roheline;Põhiapteek;Lääne-Viru maakond;Maal;;;
101;Vändra Turu Apteek;Pärnu maakond Vändra vald (alev) Vändra alev Turu tn 6b;osaühing Folia Apteek;Jah;Roheline;Põhiapteek;Pärnu maakond;Maal;;;
100;Vändra Vana Apteek;Pärnu maakond Põhja-Pärnumaa vald Vändra alev Vihtra tee 4;osaühing Gvander;Jah;Roheline;Põhiapteek;Pärnu maakond;Maal;;;
2115;Vändra Vana Apteek HA1;Pärnu maakond Põhja-Pärnumaa vald Vändra alev Pärnu-Paide mnt 21;osaühing Gvander;Jah;Roheline;Haruapteek;Pärnu maakond;Maal;;;
120;Õismäe Apteek;Harju maakond Tallinn Haabersti linnaosa Õismäe tee 1b;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2213;Õismäe Apteek HA2;Harju maakond Tallinn Kesklinna linnaosa Sadama tn 6;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
91;Ülejõe Apteek;Pärnu maakond - Pärnu linn J. V. Jannseni tn 7a;OÜ Lartim;Jah;Roheline;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2197;Ülejõe Apteek HA2;Pärnu maakond - Pärnu linn Sadama tn 15;OÜ Lartim;Ei;Kollane;Haruapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2259;Ülejõe Apteek HA3;Pärnu maakond Tori vald Sindi linn Jaama tn 8;OÜ Lartim;Jah;Roheline;Haruapteek;Pärnu maakond;Alla 4000 elanikuga linnas;;;
2336;Ülejõe Apteek HA4;Pärnu maakond, Pärnu linn, Tõstamaa alevik, Varbla mnt 24;OÜ Lartim;Jah;Roheline;Haruapteek;Pärnu maakond;Maal;;;
2346;Ülejõe Apteek HA5;Pärnu maakond Halinga vald Pärnu-Jaagupi alev Uus tn 20a;OÜ Lartim;Jah;Roheline;Haruapteek;Pärnu maakond;Maal;;;
2347;Ülejõe Apteek HA6;Pärnu maakond Pärnu linn Audru alevik Pärna allee 7;OÜ Lartim;Jah;Roheline;Haruapteek;Pärnu maakond;Maal;;;
231;Ülejõe Selveri Apteek;Pärnu maakond - Pärnu linn Tallinna mnt 93a;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Pärnu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1401;Ülemiste Keskuse Südameapteek;Harju maakond Tallinn Lasnamäe linnaosa Suur-Sõjamäe tn 4;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1162;Ülemiste Südameapteek;Harju maakond Tallinn Lasnamäe linnaosa Suur-Sõjamäe tn 4;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
1468;Ülemiste Tervisemaja Apteek;Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 7/2-Karl Papello maja;Nordic Pharmacy OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2338;Ülemiste Tervisemaja Apteek HA1;Viljandi maakond, Põhja-Sakala vald, Suure-Jaani linn, Pärnu tn 4;Nordic Pharmacy OÜ;Jah;Roheline;Haruapteek;Viljandi maakond;Alla 4000 elanikuga linnas;;;
2343;Ülemiste Tervisemaja Apteek HA2;Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Tartu mnt 1b;Nordic Pharmacy OÜ;Jah;Roheline;Haruapteek;Jõgeva maakond;Alla 4000 elanikuga linnas;;;
1326;Ümera Apteek;Harju maakond Tallinn Lasnamäe linnaosa Laagna tee 80;Osaühing EUROAPTEEK;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2323;Ümera Apteek HA2;Harju maakond Jõelähtme vald Loo alevik Saha tee 9;Osaühing EUROAPTEEK;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
